title;album;release year;additional info;lyrics
Give It Away;Blood Sugar Sex Magik;1991;;"What I got you got to give it to your mamma
What I got you've got to give it to your pappa
What I got you got to give it to your daughter
You do a little dance and then you drink a little water
What I got you got to get it put it in you
What I got you got to get it put it in you
What I got you got to get it put it in you
Reeling with the feeling, don't stop, continue
I realize I don't want to be a miser
Confide with sly you'll be the wiser
Young blood is the lovin' upriser
How come everybody wanna keep it like the Kaiser
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
I can't tell if I'm a kingpin or a pauper
Greedy little people in a sea of distress
Keep your more to receive your less
Unimpressed by material excess
Love is free, love me, say, ""Hell, yes""
Low brow but I rock a little know how
No time for the piggies or the hoosegow
Get smart get down with the pow wow
Never been a better time than right now
Bob Marley poet and a prophet
Bob Marley taught me how to off it
Bob Marley walkin' like he talk it
Goodness me can't you see I'm gonna cough it
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Oh, oh yeah
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
I can't tell if I'm a kingpin or a pauper
Lucky me swimming in my ability
Dancing down on life with agility
Come and drink it up from my fertility
Blessed with a bucket of lucky mobility
My mom, I love her 'cause she love me
Long gone are the times when she scrub me
Feelin' good my brother gonna hug me
Drink my juice young love chug-a-lug me
Ah, there's a river born to be a giver
Keep you warm won't let you shiver
His heart is a never gonna wither
Come on, everybody, time to deliver
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
I can't tell if I'm a kingpin or a pauper
What I got you got to give it to your mamma
What I got you've got to give it to your pappa
What I got you got to give it to your daughter
You do a little dance and then you drink a little water
What I got you got to get it put it in you
What I got you got to get it put it in you
What I got you got to get it put it in you
Reeling with the feeling, don't stop, continue
I realize I don't want to be a miser
Confide with sly you'll be the wiser
Young blood is the lovin' upriser
How come everybody wanna keep it like the Kaiser
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Yeah
"
Blood Sugar Sex Magik;Blood Sugar Sex Magik;1991;;"Blood sugar sucker fish in my dish
How many pieces do you wish
Step into a heaven where I keep it on the soul side
Girl, please me, be my soul bride
Every woman has a piece of Aphrodite
Copulate to create a state of sexual light
Kissing her virginity, my affinity
I mingle with the gods, I mingle with divinity
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar crazy, she has it
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
Glorious euphoria is my must
Erotic shock is a function of lust
Temporarily blind, dimension to discover
In time, each into the other
Uncontrollable notes from her snow-white throat
Fill a space in which two bodies float
Operatic by voice, a fanatic by choice
Aromatic is the flower, she must be moist
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar crazy, she has it
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar crazy, she has it
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
Blood sugar crazy, she has it
Sex magik, sex magik
Blood sugar baby, she magik
Sex magik, sex magik
"
Under The Bridge;Blood Sugar Sex Magik;1991;;"Sometimes I feel like I don't have a partner
Sometimes I feel like my only friend
Is the city I live in, The City of Angels
Lonely as I am together we cry
I drive on her streets 'cause she's my companion
I walk through her hills 'cause she knows who I am
She sees my good deeds and she kisses me windy
Well, I never worry, now that is a lie
I don't ever wanna feel like I did that day
But take me to the place I love, take me all the way
I don't ever wanna feel like I did that day
But take me to the place I love take me all the way
Yeah, yeah yeah
It's hard to believe that there's nobody out there
It's hard to believe that I'm all alone
At least I have her love
The city, she loves me
Lonely as I am together we cry
I don't ever wanna feel like I did that day
But take me to the place I love take me all the way
I don't ever wanna feel like I did that day
But take me to the place I love take me all the way
Yeah, yeah yeah
Oh, no, no, no, yeah yeah
Love me, I say, yeah yeah
One time
(Under the bridge downtown)
Is where I drew some blood
(Under the bridge downtown)
I could not get enough
(Under the bridge downtown)
Forgot about my love
(Under the bridge downtown)
I gave my life away, yeah
Yeah yeah
Oh, no, no no no, yeah yeah
Oh no, I said oh, yeah yeah
Here I stay
"
Naked In The Rain;Blood Sugar Sex Magik;1991;;"Standing on the corner of civilization
There's a time, there's a place for me
In a world where I can't be found
Cold and mean, people give me the creeps
Going to the jungle where the elephant roams
Got to get away, going to make it my home
Losing my taste for the human race
Social grace is a waste of time
It's absurd when I look around
So sublime that we blow my mind
Naked in the rain with a killer whale
I can taste the salt when I lick his tail
(Naked in the rain) Doctor Doolittle, what's your secret?
Give it to me, doctor, don't keep it
I never met an animal that I didn't like
You can come to me, I won't bite
Don't you know dog is man's best friend
There is some love that you can't fight
Naked in the rain with the black tattoos
Running through the woods and laughing at the blues
(Naked in the rain) Doctor Doolittle, what's your secret?
Give it to me, doctor, don't keep it
Listen to the talking heart in my chest
With this gift, good Lord, I am blessed
There's a lump and it's in my throat
I'm in love with the wilderness
Naked in the river skinny-dipping my way
In the waterfall, I just want to play
(Naked in the rain) Doctor Doolittle, what's your secret?
Give it to me, doctor, don't keep it
(Naked in the rain) Doctor Doolittle, what's your secret?
Give it to me, doctor, don't keep it
"
Apache Rose Peacock;Blood Sugar Sex Magik;1991;;"Sittin' on a sack of beans
Sittin' down in New Orleans
You wouldn't believe what I've seen
Sitting on that sack of beans
Lunatics on pogo sticks
Another southern fried freak on a crucifix
Hicks don't mix with politics
People on the street just kickin' to the licks
Yes, my favorite place to be
Is not a land called Honalee
Oh, mentally or physically
I wanna be in New Orleans
Oh good brother, just when I thought
That I had seen it all
My eyes popped out, my dick got hard
And I dropped my jaw
I saw a bird walkin' down the block
Name Apache Rose Peacock
I could not speak I was in shock
I told my knees to please not knock
Yes, my favorite place to be
Is not a land called Honalee
Oh, mentally or physically
I wanna be in New Orleans
Doo-ru, doo-ru, doo
Doo-ru, doo-ru, doo, doo
Doo-ru, doo-ru, doo
Doo-ru, doo-ru, doo, doo
A little boy came along
Name of Louis Armstrong
Said that girl who left me silly
She liked the looks of me and my willy
So I found her in the quarter
Good God, how I adored her
Oh she made me feel so cozy
When she told me I could call her Rosey
I kiss your hair your skin so bare
I'll take you with me, girl, anywhere
You fare well in stormy weather
I never met a girl that I liked better
Twinkle twinkle little star
Shining down on my blue car
Drivin' down the boulevard
She was soft and I was hard
Apache Rose gotta rockin' Peacock
Hottest ass on the goddamn block
Rockin' to the beat of the funky ass Meters
She has one of those built-in heaters
I kiss your hair your skin so bare
I'll take you with me, girl, anywhere
You fare well in stormy weather
I never met a girl that I liked better
Doo-ru, doo-ru, doo
Doo-ru, doo-ru, doo, doo
Doo-ru, doo-ru, doo
Doo-ru, doo-ru, doo, doo
Voodoo gurus casting their spells
Cockatoo drag queens shakin' their bells
Silver sound escapes the trumpet
Watch your leg someone might hump it
Chicken strut your butt let's rock
Gettin' it on under your frock
Flowing like a flame all through the night
My girl's insane but it's all right
Yes, my favorite place to be
Is not a land called Honalee
Oh, mentally or physically
I wanna be in New Orleans
"
The Greeting Song;Blood Sugar Sex Magik;1991;;"Drivin' around, I've got my baby and my top down
Mary-go-round I ride you for my love
Throwin' me down in the backseat underground
I'm on the mound I make it for my love
Makin' my way, I break another L.A. day
Time in the town I need it for my love
My Chevrolet rollin' to another play day
This is the sound I listen for my love
Who you talking to? Talk to me, you
Sound of music
Who you talking to? Talk to me, you
Sound of music
I love you, swim through me
Good feelings, come to me
Sought and I found a life of making my blood-sound
Do anything for the one I love
Something profound, the face of God is in Sensurround
I'm on the mound I make it for my love
Who you talking to? Talk to me, you
Sound of music
Who you talking to? Talk to me, you
Sound of music
I love you, swim through me
Good feelings, come to me
I love you, swim through me
Good feelings, come to me
I love you, swim through me
Good feelings, come to me
"
My Lovely Man;Blood Sugar Sex Magik;1991;;"I used to shout across the room to you
And you'd come dancin' like a fool
Aw, shuffle step, you funky mother
Come to me, all warm as covers
Rest with me, my lovely brother
For you see, there is no other
Memory so sad and sweet
I'll see you soon, save me a seat
Oh well, I'm cryin', now my lovely man
Oh yes, I'm cryin', now and no one can
Ever fill the, the hole you left, my man
I'll see you later, my lovely man, if I can
In my room, I'm all alone
Waiting for you to get home
Listen to Roberta Flack
But I know you won't come back
Oh well, I'm cryin', now my lovely man
I'll see you later, my lovely man, if I can
Just in case you never knew
I miss you, Slim, I love you too
See my heart, it's black and blue
When I die, I will find you
Oh well, I'm cryin', now my lovely man
Oh yes, I'm cryin', now and no one cares
Ever fill the, the hole you left, my man
I'll see you later, my lovely man, if I can
Well, I'm cryin', lovely man, yeah
Well, I'm cryin', yeah, lovely man
I'll see you later, my lovely man
We had some good time, my lovely man
"
Sir Psycho Sexy;Blood Sugar Sex Magik;1991;;"A long, long, long, long time ago
Before the wind, before the snow
Lived a man, lived a man I know
Lived a freak of nature named Sir Psycho
""Sir Psycho Sexy, that is me!
Sometimes I find I need to scream""
He's a freak of nature, but we love him so
He's a freak of nature, but we let him go
Deep inside the garden of Eden
Standing there with my hard on bleedin'
There's a devil in my dick and some demons in my semen
Good God no, that would be treason
Believe me, Eve, she gave good reason
Booty looking too good not to be squeezin'
Creamy beaver hotter than a fever
I'm a givin' 'cause she's the receiver
I won't and I don't hang up until I please her
Makin' her feel like an over achiever
I take it away for a minute just to tease her
Then I give it back a little bit deeper
Sir Psycho, Sir Psycho, yeah (He's the man that I met one time)
Sir Psycho, Sir Psycho, yeah (He's the man that left me blind)
Sir Psycho, Sir Psycho, yeah (He's the man, he's the man, he's the man)
Sir Psycho, Sir Psycho, yeah (Yeah)
He's a freak of nature, but we love him so
He's a freak of nature, but we let him go
I got stopped by a lady cop in my automobile
She said get out and spread your legs
And then she tried to cop a feel
That cop she was all dressed in blue
Was she pretty? Boy I'm tellin' you
She stuck my butt with her big black stick
I said ""What's up? Now suck my dick""
Like a ram getting ready to jam the lamb
She whimpered just a little when she felt my hand
On her crotch, so very warm
I could feel her getting wet through her uniform
Proppin' her up on the black and white
Unzipped and slipped, ""Ooh, that's tight""
I swatted her like no swat team can
Turned a cherry pie right into jam
Sir Psycho, Sir Psycho, yeah (I'm the man that you met one time)
Sir Psycho, Sir Psycho, yeah (I'm the man that'll leave you blind)
Sir Psycho, Sir Psycho, yeah (I'm the man, I'm the man, I'm the man)
Sir Psycho, Sir Psycho, yeah
Hello young woman that I love
Pretty punk rock mamma that I'm thinking of
Hold me naked if you will
In your arms, in your legs, in your pussy, I'd kill
To be with you, to kiss with you, I do miss you
I love you
Lay me down, lay me down, lay me down, lay me down
Lay me down, lay me down, lay me down, lay me down
Descending waves of graceful pleasure
For your love, there is no measure
Her curves they bend with subtle splendor
Now I lay me down to sleep
I pray the funk will make me freak
If I should die before I waked
Allow me Lord to rock out naked
Bored by the ordinary time to take a trip
Calling up a little girl with a bull whip
Lickety split go snap ""snap""
Girl gettin' off all in my lap
The tallest tree the sweetest sap
Blowin' my ass right off the map
Ooh and it's nice out here
I think I'll stay for a while
"
They're Red Hot;Blood Sugar Sex Magik;1991;;"Hot tamales and they're red hot, yes, she got them for sale
Hot tamales and they're red not, yes, she got them for sale
I got a girl, says she long and tall
She sleeps in the kitchen with her feet in the hall
Hot tamales and they red hot, yes, she got 'em for sale, I mean
Yes she got 'em for sale, yeah
Hot tamales and they red hot, yes, she got 'em for sale (They too hot, boy)
Hot tamales and they're red hot, yes, she got them for sale
Hot tamales and they're red not, yes, she got them for sale
You know the monkey, now the baboon's playing in the grass
Well, the monkey stuck his finger in that old ""Good Gulf Gas,"" now
Hot tamales because they're red hot, yes, they got them for sale, I mean
Yes, she got them for sale, yeah
Hot tamales and they're red hot, yes, she got them for sale
Hot tamales and they're red not, yes, she got them for sale
She got two for a nickel, got four for a dime
Would sell you more, but they aren't mine
Hot tamales and they red hot, yes, she got 'em for sale, I mean
Yes, she got 'em for sale, yes, yeah
Hot tamales and they're red hot, yes, she got them for sale
Hot tamales and they're red not, yes, she got them for sale
I'll due to break away your liver and dare your heart to beat about my
Hot tamales because they're red hot, yes, they got them for sale, I mean
Yes, she got them for sale, yeah
"
Little Miss Lover;Blood Sugar Sex Magik;1991;Bonus Track;"Little Miss Lover
Where have you been in this world for so long?
Well, I love a lover
That feels like you, would you like to tag along?
Well, I really don't need any help little girl
But I think you could help me out anyway
Aw, sucker today
Would you believe baby
I've been looking for a soul that feels like you
For some time
Excuse me while I see
If the gypsy in me is right
If you don't mind
Well, he signals me OK
So I think it's safe to say
I'm going to make a play
Aw, yeah
You see me walk towards you baby
Hey, aw yeah
Aw, give it to her!
Oh, get into it
Hey, hey, little miss lover
Well now, there's so much
You and me can discover
And I think we should start
(Hey, little miss lover)
See we should start right now, baby, hey, hey
(Hey, little miss lover)
Little miss, little miss, little miss lover
(Hey, little miss lover)
Oh baby, oh, look at me and say
(Hey, little miss lover)
So good, little miss lover
(Hey, little miss lover)
Hey baby
(Hey, little miss lover)
Go, it is very man good
(Hey, little miss lover)
Hey, lover
"
Castles Made Of Sand;Blood Sugar Sex Magik;1991;Bonus Track;"Down the street, you can hear her scream, ""You're a disgrace!""
As she slams the door in his drunken face
And now, he stands outside
All the neighbors start to gossip and drool
He cries, ""Oh girl, you must be mad
What happened to the sweet love you and me had?""
Against the door, he leans, and starts a scene
But his tears fall, burn, and gard-all green
And some castle made of sand
Fall in the sea eventually
An Indian brave, who before he was ten
Played war games in the woods with his Indian friends
And he built a dream, that when he grew up
He would be a fearless warrior, Indian Chief
Many moons passed, and more, the dream grew strong
Until tomorrow, he would sing his first war song
Fight his first battle
But somethin' went wrong
Surprise attack killed him in his sleep that night
And some castle made of sand
Melts into the sea eventually
Take it, Johnny
There was a young girl who was heart with a frown
She was crippled for life, and she couldn't speak a sound
And she wished and prayed she could stop livin'
So she decided to die
She drew her wheelchair to the edge of the shore
And to her legs she smiled, ""You won't hurt me no more.""
But then, a sight she'd never seen made her jump and say
""Look a golden-winged ship is passin' my way.""
But it really didn't have to stop
It just kept on goin'
And some castles made of sand
Slips into the sea, eventually
"
Warped;One Hot Minute;1995;;"My tendency
For dependency
Is offending me
It's upending me
I'm pretending see
To be strong and free
From my dependency
It's warping me
So much love
So rare to dare
Afraid of
Ever being there
Take me home
I need repair
Take me please
To anywhere
Descend
All the way
All the way
Everyday
Warped
Descended from
Demented men
Struggle with
The art of Zen
Please don't look
Too close at me
You might not like
What you see
Descend
All the way
All the way
Everyday
Warped
And scared
Of
Being
There
Night craving
Sends me crawling oh
Beg for mercy
Does it show
A vacancy
That's full of holes
Hold me please
I'm feeling cold
Descend
All the way
All the way
Everyday
Warped
And scared
Of
Being
There
"
Aeroplane;One Hot Minute;1995;;"I like pleasure spiked with pain
And music is my aeroplane
It's my aeroplane
Songbird sweet and sour Jane
And music is my aeroplane
It's my aeroplane
Pleasure spiked with pain
That motherfucker's always spiked with pain
Looking in my own eyes, hey Lord
I can't find the love I want
Someone better slap me
Before I start to rust
Before I start to decompose
Looking in my rear-view mirror
Looking in my rear-view mirror
I can make it disappear
I can make it disappear, have no fear
I like pleasure spiked with pain
And music is my aeroplane
It's my aeroplane
Songbird sweet and sour Jane
And music is my aeroplane
It's my aeroplane
Pleasure spiked with pain
That motherfucker's always spiked with pain
Sitting in my kitchen, hey girl
I'm turning into dust again
My melancholy baby
The star of Mazzy must
Push her voice inside of me
I'm overcoming gravity
I'm overcoming gravity
It's easy when you're sad to be
It's easy when you're sad, sad like me
I like pleasure spiked with pain
And music is my aeroplane
It's my aeroplane
Songbird sweet and sour Jane
And music is my aeroplane
It's my aeroplane
Pleasure spiked with pain
Just one note could make me float
Could make me float away
One note from the song she wrote
Could fuck me where I lay
Just one note could make me choke
One note, that's not a lie
Just one note could cut my throat
One note could make me die
I like pleasure spiked with pain
And music is my aeroplane
It's my aeroplane
Songbird sweet and sour Jane
And music is my aeroplane
It's my aeroplane
Pleasure spiked with pain
My aeroplane, my aeroplane
It's my aeroplane
"
Deep Kick;One Hot Minute;1995;;"It started when we were little kids
Free spirits, but already tormented by our own hands
Given to us by our parents
We got together and wrote on desks
And slept in laundry rooms near snowy mountains
And slipped through whatever cracks we could find
Minds altered, we didn't falter
In portraying hysterical and tragic characters in a smog filled universe
We loved the dirty city
And the journeys away from it
We had not yet been or seen our friends, selves
Chase tails round and round in downward spirals
Leaving trail of irretrievable, vital life juice behind
Still, the brothers, blood comrades, partner, family, cousin was impenetrable
And we lived inside it
Laughing with no clothes, and everything experimental until death was upon us
In our face, mortality
And lots of things seemed futile then, but love and music can save us
And did, while the giant grey monster grew
More poisoned and volatile around us
Jaws clamping down and spewing ugly shit around
Nothing is the same
So we keep moving
We keep moving
(Ooh shit! Ooh shit!)
Went off and got some hair cuts
Looking wild and got all drugged up
Hopped a train into the night
Got a ride with a transvestite
Two boys in San Francisco
Two boys in San Francisco
Blasted off in a BART bathroom
Those coppers woke us up
The motherfuckers woke us up
Two young brothers on a hovercraft
Telepathic love and belly laughs
Storm the stage of Universal
Slim shine talk boy go subversal
Papa's proud and so he sent us
Pounding hearts full and relentless
Two boys in London, England
Two boys in London, England
Climbing out of hostel windows
Wearing gear so out but in though
Come on kid and do the no, no
Two young brothers on a hovercraft (yeah)
Telepathic love and belly laughs (oh yeah)
(Ooh shit! Ooh shit!)
We went to Fairfax High School
Jumped off buildings into their pools
We'd sit down and grease at Canters
Run like hell they can't catch us
Two boys in L.A. proper
Two boys in L.A. proper
Stealing anything that we could
Got to sneak into the Starwood
Got to peak into the deep good
I remember
10 years ago in Hollywood
We did some good
And we did some real bad stuff
But the Butt-hole Surfers said
It's better to regret something you did
Than something you didn't do
Yea, we were young
And we were looking
Looking
Looking for that deep kick
Yeah, (I've) seen them come, seen them go
(And I feel I'm getting close to you)
"
My Friends;One Hot Minute;1995;;"My friends are so depressed
I feel the question of your loneliness
Confide, 'cause I'll be on your side
You know I will, you know I will
Ex-girlfriend called me up
Alone and desperate on a prison phone
They want to give her seven years
For being sad
I love all of you
Hurt by the cold
So hard and lonely too
When you don't know yourself
My friends are so distressed
And standing on the brink of emptiness
No words I know of to express
This emptiness
I love all of you
Hurt by the cold
So hard and lonely too
When you don't know yourself
Imagine me
Taught by tragedy
Release is peace
I heard a little girl
And what she said was something beautiful
To give your love no matter what
Was what she said
I love all of you
Hurt by the cold
So hard and lonely too
When you don't know yourself
"
Coffee Shop;One Hot Minute;1995;;"I am just a lousy bum
Searching for the unknown crumb
The crumb, the crumb
Something or someone to come
Come along illuminate my lust
Combust
Confucius might have been confused
And Buddha might have blown a fuse
I ooze the muse
Meet me at the coffee shop
We can dance like Iggy Pop
Another go in the parking lot
Freak the cheek on your hot spot
Back and forth my body's jerking
Will to thrill will not stop working
Work and work
I'll take you on a honeymoon
Jumping on a bed in a hotel room
The room, the groom
Meet me at the coffee shop
We can dance like Iggy Pop
Another go in the parking lot
Freak the cheek on your hot spot
Meet me at the coffee shop
We can dance like Iggy Pop
Another go in the parking lot
Freak the cheek on your hot spot
"
Pea;One Hot Minute;1995;;"I'm a little pea
I love the sky and the trees
I'm a teeny, tiny little ant
Checking out this and that
And I am nothing
Ah, so you have nothing to hide
And I'm a pacifist
So I can fuck your shit up
Oh yeah, I'm small
Oh yeah, I'm small
Fuck you asshole
You homophobic, redneck dick
Big and tough and macho
You can kick my ass
So fucking what?
So fucking what?
So fucking what?
So fucking what?
"
One Big Mob;One Hot Minute;1995;;"I am you are me
I am you are me
I am you are me
I am you are me
Good woman said you've got to believe
Submerge into the urge of we
Deliciously the mystery
The mystery
One big mob (oh yeah, oh yeah)
One big mob (oh yeah, oh yeah)
Ek bara mala (oh yeah, oh yeah)
Ek bara mala (oh yeah, oh yeah)
One big mob is
Ooze into into my noodle
East or west shepherd or poodle
Ladybug pine tree
To mingle with the bumblebee
A lover to the sun
And a brother to the cool breeze
One big mob is
One big mob (oh yeah, oh yeah)
One big mob (oh yeah, oh yeah)
Ek bara mala (oh yeah, oh yeah)
Ek bara mala (oh yeah, oh yeah)
One big mob is
We live in the city
We live in the jungle
It's time to be drinking
A thimble humble
Everything you ever see
Is never more than you and me
Give it on in to the beauty of the mystery
One big mob is home
One big mob in one big home
A broken home
I'd like to share some air with you
Some air with you
A morning forest full of truths
The green is blue
The head that's getting pregnant lives
To give and give
What was I thinking in my head
The color red
Breaking hearts instead of bread
Something I said
Checkmated by frustration
Need to be cut loose
A different kind of being lost
A sullen cost
I am you are me
I am you are me
I am you are me
I am you are me
Good woman said you've got to believe
Submerge into the urge of we
Deliciously the mystery
The mystery
One big mob is
One big mob (oh yeah, oh yeah)
One big mob (oh yeah, oh yeah)
Ek bara mala (oh yeah, oh yeah)
Ek bara mala (oh yeah, oh yeah)
One big mob is
Scrawled upon the wall
Of a bathroom stall
A stranger wrote a note
That spoke to all
One, two, buckle my shoe
Take care of me
'Cause I might be you
One big mob is
Peek-a-boo street in Timbuktu
Do I need to repeat that a boy named Sue
Rocking to the beat of the kangaroo
Let me kiss your feet
And your forehead too
One big mob is
"
Walkabout;One Hot Minute;1995;;"I think I'll go on a walkabout
And find out what it's all about
And that ain't hard
Just me and my own two feet
In the heat, I got myself to meet
A detective of perspective
I need to try and get a bigger eye
Open wide
Bloodwood flowers in my gaze
Walkabout in the sunny days
Do me now
On a walkabout
You can do it in the city, you can do it in a zone
You can do it in the desert, you can do the unknown
On a walkabout
High desert skies are what I spy
So fly, you gotta wonder why, hmm
The stingrays must be fat this year
Are moving slow in my lowest gear
The didgeridoo original man with a dream
I believe the Aborigine
On a walkabout
You could do it with a shuffle, you could do it with a stroll
You could do it with a stride, you could do the unknown
On a walkabout, mmm hmm
A walk could cure most all my blues
Bare feet or in my two shoes
One, two
I think I'll go on a walkabout
And find out what it's all about
Can't hurt to try
Use your legs to rock it wide
Take a ride to the other side
"
Tearjerker;One Hot Minute;1995;;"Could you turn up the track a little bit please?
My mouth fell open
Hoping that the truth would not be true
Refuse the news
I'm feeling sick now
What the fuck am I supposed to do?
Just lose and lose
First time I saw you
You were sitting backstage in a dress
A perfect mess
You never knew this
But I wanted badly for you to
Requite my love
Left on the floor
Leaving your body
When highs are the lows
And lows are the way
So hard to stay
Guess now you know
I love you so
I liked your whiskers
And I liked the dimple in your chin
Your pale blue eyes
You painted pictures
'Cause the one that hurts can give so much
You gave me such
Left on the floor
Leaving your body
When highs are the lows
And lows are the way
So hard to stay
Guess now you know
I love you so
"
One Hot Minute;One Hot Minute;1995;;"I was riding— riding on my bike
Me with my friend, we're so alike
Am I all alone
She said all we have is this
We just had to stop and share a kiss
Am I all alone
One hot minute
And I'm in it, come and get it
One hot minute
And I'm in it, come and get it
One hot minute
And I'm in it, come and get it
If I chase it
I might waste it, come and spit it
Am I all alone
Am I all alone
Sitting in the fire
Get along and have some fun
Floating to be higher
Maybe I'm your special one
Silent testifier
Breathe the moon and eat the sun
Sitting in the fire
Close your eyes and click your heels
Can you believe how good it feels?
Am I all alone
One hot minute
And I'm in it, come and get it
One hot minute
And I'm in it, come and get it
One hot minute
And I'm in it, come and get it
If I chase it
I might waste it, come and spit it
Am I all alone
Am I all alone
Sitting in the fire
Get along and have some fun
Floating to be higher
Maybe I'm your special one
Silent testifier
Breathe the moon and eat the sun
Sitting in the fire
Say goodbye to where you got it now
Pay your father, pay your twenty, take a bow
Say goodbye to where you buy you got it now
Pay your mama, pay your father take a bow
Say goodbye to where you buy you got it now
Pay your father, pay your twenty, take a bow
Three pounds of love inside my skull
A million more lives, it's never dull
Just a few times spun, spun around the sun
A couple more or less and then we're done
Sitting in the fire
Get along and have some fun
Floating to be higher
Or maybe I'm your special one
Silent testifier
Breathe the moon and eat the sun
Sitting in the fire
"
Falling Into Grace;One Hot Minute;1995;;"What ever never knew that I could feel so good
Smile in your eyes
What ever never knew that I could walk through wood
I guess I never tried
A million years old, but just a little girl
Vibing off the gong
Rubbing on the bowls make you float around
Make your loving strong
And when we get in the same place
At the same time, it is your grace
That I want to fall right into now
To love avow
I'm falling into grace with you
I'm falling into gurumukh
I said I'm falling into grace with you, oh yeah
I'm falling into gurumukh
She moves in a rapture that her capsule might
Land on your star
Meditating in the morning, head dressed in white
Beauty bazaar
You can smell the purple light coming from her heart
Get lost and wet
I treat you like a teacher 'cause that's what you are
I wanna be your pet
And when we get in the same place
At the same time, it is your grace
That I want to fall right into now
To love avow
I'm falling into grace with you
I'm falling into gurumukh
I said I'm falling into grace with you, oh yeah
I'm falling into gurumukh
I'm falling into grace with you
I'm falling into gurumukh
I said I'm falling into grace with you, oh yeah
I'm falling into gurumukh
I'm falling into grace with you
I'm falling into gurumukh
Oh, Lord, I'm falling into grace with you, with you
I'm falling into gurumukh
"
Shallow Be Thy Game;One Hot Minute;1995;;"I was not created in the likeness of a fraud
Your hell is something scary, I prefer a loving God
We are not the center of this funny universe
And what is worse, I do not serve in fear of such a curse
Shallow be thy game, 2000 years, look in the mirror
You play the game of shame and tell your people live in fear
A rival to the way you see, the Bible let him be
I'm a threat to your survival and your control company
You'll never burn me, you'll never burn me
I will be your heretic, yeah
You can't contain me, I am the power free
Truth belongs to everybody
To anyone who's listening, you're not born into sin
The guilt they try and give you, puke it in the nearest bin
Missionary madness sweep up culture with a broom
Trashing ancient ways is par for the course, it's fuckin' rude
To think that you're above the laws of nature, what a joke
Purple sashes, feeding masses, smoke on which to choke
I might be a monkey when it comes to being holy
Fundamental hatred get down on your knees and
You'll never burn me, you'll never burn me
I will be your heretic, yeah
You can't contain me, I am the power free
Truth belongs to everybody
Oh yeah
I was not created in the likeness of a fraud
Your hell is something scary, I prefer a loving God
We are not the center of this funny universe
And what is worse, I do not serve in fear of such a
You'll never burn me, you'll never burn me
I will be your heretic, yeah
You can't contain me, I am the power free
Truth belongs to everybody
You'll never burn me, you'll never burn me
I will be your heretic, yeah
You can't contain me, I am the power free
Truth belongs to everybody
"
Transcending;One Hot Minute;1995;;"You are my God, you are my dog
You kept me close, love never lost
I called you hippie, you said fuck off
Said your brother's a real punk rocker
Something's going to happen
Something very soon
Transcending flesh could be a breeze
Sending me, Lord, over the moon
Friends near death, you gave respect
Sympathetic intellect
Choices are for one and all
All we are is leaves that fall
That's all
Always be loving you
Now I'm away from you
Always be loving you
'Round and 'round inside your head
Smartest fucker I ever met
Vicious fish bit at your toes
Made you lie and numb your soul
Something's going to happen
Something very soon
Transcending flesh could be a breeze
Sending me, Lord, over the moon
Mule donkey ass you bore the load
Of all creation's tortured souls
Choices are for one and all
All we are are leaves that fall
Like no other, I love you, you're my brother
Like no other, I love you, you're my brother
Like no other, I love you, you're my brother
Like no other, I love you, you're my brother
Like no other, I love you, you're my brother
Like no other, I love you, you're my brother
Water flowing and I will drink it
I will drink for you
A part of me left that only you knew
Will never be understood
Will never be understood
Hey, gone to stay
Entire lifetime flash before me
In a loving stream
Hey Mother may
I have lost a child but she gave birth
To a loving stream
Oh, never know
When the gods will come and take you
To a loving stream
Oh, heart of gold
The most special thing you gave me
From your loving stream
In a loving stream
Fuck the magazines
Fuck the green machine
See the human being
In a loving stream
Fuck the legal greed
Fuck the nothing scene
See the family
In a loving stream
"
